"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","ensembl_gene_id","Gene_name"
"ENSG00000050130.18",1344.32,0.088,0.143,0.611,0.541,1,"insig","ENSG00000050130","JKAMP"
"ENSG00000050327.15",775.808,0.233,0.223,1.043,0.297,1,"insig","ENSG00000050327","ARHGEF5"
"ENSG00000050344.9",786.419,-0.074,0.48,-0.154,0.878,1,"insig","ENSG00000050344","NFE2L3"
"ENSG00000050426.16",2542.297,0.039,0.171,0.23,0.818,1,"insig","ENSG00000050426","LETMD1"
"ENSG00000050438.17",44.63,-0.433,0.448,-0.966,0.334,1,"insig","ENSG00000050438","SLC4A8"
"ENSG00000050555.19",1190.077,0.208,0.431,0.483,0.629,1,"insig","ENSG00000050555","LAMC3"
"ENSG00000050730.16",10.237,0.22,0.635,0.347,0.728,1,"insig","ENSG00000050730","TNIP3"
"ENSG00000050748.18",1781.806,-0.032,0.144,-0.221,0.825,1,"insig","ENSG00000050748","MAPK9"
"ENSG00000050820.17",5720.754,-0.081,0.292,-0.277,0.782,1,"insig","ENSG00000050820","BCAR1"
"ENSG00000051009.11",2131.82,0.056,0.197,0.286,0.775,1,"insig","ENSG00000051009","FHIP1B"
